Stock name,Start date,End date,Price at end,Label
SHIVATEX,2023-03-21,2023-05-04,124.91,Bad VCP
SILVERTUC,2025-04-01,2025-06-12,797.56,Bad VCP
SIRCA,2024-10-25,2025-01-01,340.45,Bad VCP
SIS,2025-10-06,2025-12-26,332.63,Bad VCP
SOFTTECH,2025-11-25,2026-01-07,332.55,Bad VCP
SOLARA,2025-03-04,2025-05-12,525.55,Good VCP
SONACOMS,2022-05-26,2022-07-20,559.5,Bad VCP
SONATSOFTW,2022-05-12,2022-07-08,239.85,Good VCP
SPANDANA,2025-04-07,2025-06-09,282.3,Bad VCP
SPANDANA,2025-11-11,2025-12-26,274.8,Bad VCP
SPARC,2025-03-03,2025-05-15,151.57,Good VCP
SPECTRUM,2025-06-24,2025-07-29,1629.0,Bad VCP
SPMLINFRA,2025-03-05,2025-04-02,167.43,Good VCP
SREEL,2023-03-28,2023-06-30,193.88,Good VCP
SSWL,2024-03-13,2024-05-02,227.82,Bad VCP
STANLEY,2025-03-04,2025-05-08,313.35,Good VCP
STERTOOLS,2025-04-07,2025-06-02,321.42,Good VCP
STOVEKRAFT,2024-03-27,2024-05-15,444.55,Good VCP
STYLAMIND,2022-11-16,2023-02-09,1099.76,Bad VCP
SUBROS,2025-02-18,2025-04-03,592.65,Bad VCP
SUDARCOLOR,2024-06-04,2024-08-08,496.2,Bad VCP
SUDARSCHEM,2022-12-09,2023-01-17,381.8,Bad VCP
SUNDARMFIN,2022-05-30,2022-07-20,1813.15,Good VCP
SUNDRMFAST,2026-04-02,2026-06-18,867.2,Good VCP
SUPRAJIT,2025-01-27,2025-03-21,401.8,Bad VCP
TARSONS,2023-03-28,2023-05-11,551.09,Good VCP
TATACHEM,2024-02-29,2024-05-28,1053.02,Bad VCP
TATACOMM,2024-06-04,2024-07-18,1826.33,Good VCP
TATVA,2024-10-28,2024-12-31,888.62,Bad VCP
TEJASNET,2023-01-30,2023-04-05,620.97,Good VCP
TIINDIA,2023-02-20,2023-05-09,2710.41,Good VCP
TIPSMUSIC,2025-11-10,2026-01-01,539.51,Bad VCP
TITAN,2024-06-04,2024-08-19,3443.16,Good VCP
TMB,2025-04-07,2025-06-02,436.06,Bad VCP
TOLINS,2026-03-30,2026-05-08,110.25,Bad VCP
TOUCHWOOD,2024-03-14,2024-05-07,154.78,Bad VCP
TRANSWORLD,2025-03-03,2025-04-03,265.65,Good VCP
TREJHARA,2025-02-19,2025-03-20,185.6,Good VCP
TRENT,2023-01-27,2023-03-20,1339.77,Bad VCP
TTKHLTCARE,2025-08-06,2025-10-21,1140.05,Bad VCP
UBL,2023-04-11,2023-05-25,1410.66,Bad VCP
UDS,2025-08-13,2025-10-03,257.56,Bad VCP
UEL,2022-06-21,2022-07-22,359.79,Bad VCP
UFBL,2022-05-26,2022-07-15,1078.5,Good VCP
UFBL,2025-04-07,2025-06-25,332.45,Bad VCP
UGROCAP,2022-11-22,2023-01-25,154.1,Good VCP
UGROCAP,2025-04-07,2025-06-11,179.64,Bad VCP
UNITDSPR,2023-02-27,2023-05-02,757.14,Good VCP
UNIVPHOTO,2022-05-12,2022-08-26,535.37,Good VCP
UTTAMSUGAR,2025-08-07,2025-10-29,254.14,Bad VCP
VALIANTLAB,2025-03-28,2025-06-02,107.88,Good VCP
VBL,2025-10-08,2025-12-23,480.16,Bad VCP
